"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","Граничное значение: тариф 0.01 (минимально положительный)","","2026-04-07","passed","2026-04-07","","org.example.atbp3laba.service.LibraryServiceImplTest","org.example.atbp3laba.service.LibraryServiceImplTest","testCalculateFineMinimalRate"
"","348","Негативный сценарий: нулевой или отрицательный тариф","","2026-04-07","passed","2026-04-07","","org.example.atbp3laba.service.LibraryServiceImplTest","org.example.atbp3laba.service.LibraryServiceImplTest","testCalculateFineInvalidRate"
"","5","Негативный сценарий: отрицательные дни","","2026-04-07","passed","2026-04-07","","org.example.atbp3laba.service.LibraryServiceImplTest","org.example.atbp3laba.service.LibraryServiceImplTest","testCalculateFineNegativeDays"
"","7","Example #1.2","","2026-04-07","broken","2026-04-07","","","",""
"","5","Граничное значение: просрочка 0 дней","","2026-04-07","passed","2026-04-07","","org.example.atbp3laba.service.LibraryServiceImplTest","org.example.atbp3laba.service.LibraryServiceImplTest","testCalculateFineZeroDays"
"","4","Example #1.3","","2026-04-07","broken","2026-04-07","","","",""
"","8","Проверка взаимодействия: вызов репозитория с правильным ID","","2026-04-07","passed","2026-04-07","","org.example.atbp3laba.service.LibraryServiceImplTest","org.example.atbp3laba.service.LibraryServiceImplTest","testRepositoryInteraction"
"","5","Имитация пустых данных (запись не найдена)","","2026-04-07","passed","2026-04-07","","org.example.atbp3laba.service.LibraryServiceImplTest","org.example.atbp3laba.service.LibraryServiceImplTest","testGetBookNotFound"
"","30","Позитивный сценарий: разные тарифы для разных bookId","","2026-04-07","passed","2026-04-07","","org.example.atbp3laba.service.LibraryServiceImplTest","org.example.atbp3laba.service.LibraryServiceImplTest","testDifferentRatesForDifferentBooks"
"","106","Имитация задержки ответа и успешного выполнения","","2026-04-07","passed","2026-04-07","","org.example.atbp3laba.service.LibraryServiceImplTest","org.example.atbp3laba.service.LibraryServiceImplTest","testGetBookWithDelaySimulation"
"","716","contextLoads()","","2026-04-07","passed","2026-04-07","","org.example.atbp3laba.Atbp3LabaApplicationTests","org.example.atbp3laba.Atbp3LabaApplicationTests","contextLoads"
"","12","Имитация падения сервера (ошибка БД)","","2026-04-07","passed","2026-04-07","","org.example.atbp3laba.service.LibraryServiceImplTest","org.example.atbp3laba.service.LibraryServiceImplTest","testDatabaseError"
"","3665","Example #1.1","","2026-04-07","broken","2026-04-07","","","",""
"","4","Сложный сценарий: штраф 0, если книга уже возвращена","","2026-04-07","passed","2026-04-07","","org.example.atbp3laba.service.LibraryServiceImplTest","org.example.atbp3laba.service.LibraryServiceImplTest","testCalculateFineWhenReturned"
